restaurant_id,cuisines,primary_cuisine,aggregate_rating,price_range,average_cost_for_two,votes,popularity_score
6317637,"french, japanese, desserts",french,4.8,3,1100,314,0.3
6304287,japanese,japanese,4.5,3,1200,591,0.3
6300002,"seafood, asian, filipino, indian",seafood,4.4,4,4000,270,0.3
6318506,"japanese, sushi",japanese,4.9,4,1500,365,0.3
6314302,"japanese, korean",japanese,4.8,4,1500,229,0.3
18189371,chinese,chinese,4.4,3,1000,336,0.3
6300781,"asian, european",asian,4.0,4,2000,520,0.3
6301290,"seafood, filipino, asian, european",seafood,4.2,4,2000,677,0.3
6300010,"european, asian, indian",european,4.9,4,6000,621,0.3
6314987,filipino,filipino,4.8,3,1100,532,0.3
6309903,"filipino, mexican",filipino,4.9,3,800,1070,0.3
6309455,"american, ice cream, desserts",american,4.2,3,900,488,0.3
6318433,"filipino, mexican",filipino,4.8,3,800,294,0.3
6310470,filipino,filipino,4.2,3,1000,458,0.3
6314605,korean,korean,4.3,3,700,223,0.3
18185059,"cafe, american, italian, filipino",cafe,3.6,3,800,29,0.3
18182702,"italian, pizza",italian,4.0,3,850,72,0.3
6318213,filipino,filipino,4.5,3,1200,211,0.3
18255654,"cafe, korean, desserts",cafe,4.5,2,600,118,0.3
6308205,"cafe, bakery, american, italian",cafe,4.4,4,1500,392,0.3
6315438,"seafood, american, mediterranean, japanese",seafood,4.7,4,3000,535,0.3
6310406,"american, asian, italian, seafood",american,4.5,4,1800,618,0.3
6600681,"fast food, french",fast food,3.0,2,55,6,0.3
6601005,cafe,cafe,3.8,1,50,9,0.3
6600292,bakery,bakery,3.7,2,50,11,0.3
6600441,brazilian,brazilian,3.8,3,60,11,0.3
6600970,pizza,pizza,3.2,2,50,11,0.3
6600379,japanese,japanese,3.1,3,80,10,0.3
6600214,arabian,arabian,3.7,3,90,8,0.3
6601218,japanese,japanese,3.7,4,200,5,0.3
6600060,"brazilian, cafe",brazilian,0.0,1,50,2,0.3
6600083,italian,italian,4.1,4,150,12,0.3
6601515,pizza,pizza,3.1,4,100,9,0.3
6601361,"bar food, brazilian",bar food,3.6,3,60,9,0.3
6601602,"mexican, grill",mexican,4.3,4,100,29,0.3
6601589,international,international,4.2,4,230,17,0.3
6601862,"peruvian, latin american",peruvian,3.6,4,100,5,0.3
6601595,"american, grill",american,4.0,4,150,10,0.3
6601158,seafood,seafood,3.2,4,240,6,0.3
6600427,international,international,4.9,4,230,30,0.3
6600116,italian,italian,3.3,4,350,8,0.3
6601457,"american, burger",american,3.6,2,50,9,0.3
7303219,"seafood, bar food, brazilian",seafood,4.0,4,140,7,0.3
7304307,"desserts, cafe",desserts,4.8,4,100,29,0.3
7301215,"juices, healthy food",juices,4.7,3,60,24,0.3
7300596,"beverages, bar food, fast food",beverages,4.5,3,90,29,0.3
7300612,lebanese,lebanese,4.2,4,170,11,0.3
7300704,burger,burger,4.8,3,60,19,0.3
7300955,"brazilian, bar food",brazilian,4.9,4,100,40,0.3
7300521,"brazilian, healthy food, juices, pizza",brazilian,4.6,3,90,21,0.3
7300515,"brazilian, bar food",brazilian,4.9,4,120,49,0.3
7300483,brazilian,brazilian,4.6,4,170,21,0.3
7301064,brazilian,brazilian,4.3,3,90,14,0.3
7304312,italian,italian,4.0,4,150,5,0.3
7300004,japanese,japanese,4.6,4,250,25,0.3
7300868,"bakery, sandwich, brazilian",bakery,4.4,4,120,13,0.3
7302637,brazilian,brazilian,4.2,2,50,7,0.3
7302140,"brazilian, seafood",brazilian,4.2,4,250,8,0.3
7305048,"bar food, brazilian",bar food,0.0,3,70,1,0.3
7302898,brazilian,brazilian,4.7,4,300,44,0.3
7302859,"brazilian, bar food",brazilian,4.6,3,85,24,0.3
7301700,"brazilian, bar food",brazilian,4.3,3,80,10,0.3
6706313,"italian, pizza",italian,4.5,4,250,49,0.3
6704326,"steak, bbq",steak,4.4,4,250,17,0.3
6711179,indian,indian,3.1,3,70,5,0.3
6702797,brazilian,brazilian,4.1,4,100,15,0.3
6700475,"beverages, international",beverages,4.8,4,300,59,0.3
6713413,"french, brazilian, beverages",french,4.6,4,120,30,0.3
6714340,"brazilian, grill",brazilian,3.9,3,75,5,0.3
6710645,brazilian,brazilian,0.0,2,55,0,0.3
6700402,french,french,3.4,4,200,73,0.3
6700846,"sushi, japanese",sushi,3.5,4,120,9,0.3
6702159,"bbq, grill, brazilian",bbq,4.3,4,300,39,0.3
6711666,sushi,sushi,3.9,4,230,12,0.3
6701257,"gourmet fast food, burger",gourmet fast food,4.3,4,120,68,0.3
6706211,"brazilian, italian",brazilian,4.3,4,150,46,0.3
6705858,italian,italian,4.4,4,400,37,0.3
6701419,"brazilian, mineira",brazilian,0.0,3,65,2,0.3
6703956,brazilian,brazilian,0.0,2,50,2,0.3
6709580,"brazilian, north eastern",brazilian,4.4,4,100,22,0.3
6703176,"brazilian, bar food, beverages",brazilian,4.6,3,70,58,0.3
6713772,"lebanese, arabian",lebanese,4.1,4,120,11,0.3
17284404,"bbq, burger, seafood",bbq,3.3,2,50,35,0.3
17284203,"american, bbq",american,3.3,1,50,25,0.3
17284105,unknown,unknown,3.4,1,50,34,0.3
17284302,mexican,mexican,3.4,1,50,45,0.3
17284397,"coffee and tea, sandwich",coffee and tea,3.4,1,50,26,0.3
17284211,unknown,unknown,3.4,1,50,36,0.3
17284094,fast food,fast food,3.5,1,50,67,0.3
17284409,"asian, chinese, vegetarian",asian,3.9,1,50,141,0.3
17284139,"pizza, bar food, sandwich",pizza,3.7,2,50,147,0.3
17284403,"steak, tapas, bar food",steak,3.5,4,70,51,0.3
17284145,"chinese, seafood, vegetarian",chinese,3.6,2,50,88,0.3
17284150,chinese,chinese,3.8,1,50,153,0.3
17284158,unknown,unknown,3.9,1,50,160,0.3
17284175,"american, burger, sandwich",american,3.5,2,50,57,0.3
17284179,"american, steak",american,3.5,2,50,58,0.3
17284197,"japanese, steak, sushi",japanese,3.6,3,50,115,0.3
17284241,"japanese, steak, sushi",japanese,3.5,3,50,51,0.3
17284390,"seafood, tapas, bar food",seafood,3.8,3,50,250,0.3
17284279,"italian, pizza",italian,3.7,1,50,117,0.3
17284364,"american, breakfast, diner",american,3.4,1,50,20,0.3
16611114,"bar food, steak",bar food,3.5,2,50,25,0.3
17293281,"american, southern, southwestern",american,4.5,3,50,1821,0.3
17293301,southern,southern,4.5,1,50,849,0.3
17293409,mexican,mexican,4.6,1,50,917,0.3
17293163,"japanese, korean",japanese,3.9,1,50,439,0.3
17293228,"breakfast, burger, sandwich",breakfast,3.7,1,50,289,0.3
17293880,"breakfast, sandwich",breakfast,4.3,1,50,558,0.3
17293169,"american, burger, sandwich",american,4.2,1,50,613,0.3
17293186,"american, italian, pizza",american,4.0,2,50,353,0.3
17293180,"american, italian, pizza",american,4.1,2,50,387,0.3
17293205,american,american,4.3,3,50,755,0.3
17293229,"international, southern, vegetarian",international,4.2,1,50,800,0.3
17293897,sandwich,sandwich,4.1,1,50,350,0.3
17293273,italian,italian,4.1,3,50,464,0.3
17293870,"asian, japanese, sushi",asian,4.2,2,50,550,0.3
17293877,"mexican, spanish",mexican,4.1,1,50,543,0.3
17293890,"international, southern",international,4.1,3,50,465,0.3
17293915,bar food,bar food,4.4,1,50,546,0.3
17293422,"italian, pizza, sandwich",italian,4.4,1,50,1098,0.3
17293873,"burger, bar food",burger,4.2,2,50,579,0.3
17294014,"desserts, latin american, argentine",desserts,4.1,1,50,374,0.3
17294556,"chinese, steak",chinese,4.6,3,50,717,0.3
17294607,"american, caribbean, seafood",american,4.9,3,50,548,0.3
17294279,"international, tapas, vegetarian",international,4.5,2,50,631,0.3
17294300,"desserts, sandwich, southern",desserts,3.9,1,50,372,0.3
17295215,"american, burger",american,3.9,2,50,201,0.3
17295028,"breakfast, french",breakfast,3.8,3,50,332,0.3
17294642,bbq,bbq,3.5,2,50,304,0.3
17295109,american,american,4.3,3,50,368,0.3
17294441,"desserts, italian, pizza",desserts,4.1,2,50,430,0.3
17294552,"italian, pizza, sandwich",italian,4.4,2,50,433,0.3
17294565,mexican,mexican,4.0,1,50,380,0.3
17294623,"bar food, sandwich, seafood",bar food,4.0,2,50,456,0.3
17294712,"mexican, southwestern, sushi",mexican,4.2,3,50,647,0.3
17295033,steak,steak,4.0,3,50,360,0.3
17295069,indian,indian,4.0,2,50,227,0.3
17294261,german,german,3.9,2,50,290,0.3
17295115,vietnamese,vietnamese,4.1,1,50,270,0.3
17294836,"burger, seafood",burger,4.0,2,50,326,0.3
17294850,thai,thai,4.3,3,50,317,0.3
17294883,mexican,mexican,4.2,1,50,300,0.3
16608864,modern australian,modern australian,3.2,2,50,21,0.3
16604911,"pizza, bar food",pizza,4.6,2,50,237,0.3
17303465,"american, bar food",american,4.5,2,50,879,0.3
17303642,"italian, pizza",italian,4.6,2,50,615,0.3
17303670,"breakfast, sandwich",breakfast,4.5,2,50,879,0.3
17303545,"american, seafood, steak",american,3.9,4,70,379,0.3
17303655,"european, spanish",european,4.3,1,50,303,0.3
17304691,"latin american, steak",latin american,4.1,4,70,538,0.3
17303478,"american, burger, sandwich",american,4.2,1,50,334,0.3
17303480,"american, bar food",american,4.3,2,50,555,0.3
17304733,"american, burger",american,4.4,1,50,823,0.3
17303646,pizza,pizza,4.1,2,50,550,0.3
17304929,"american, burger",american,4.4,2,50,650,0.3
17303684,pizza,pizza,4.3,1,50,410,0.3
17303772,mexican,mexican,4.4,1,50,660,0.3
17305123,"italian, seafood, vegetarian",italian,4.4,2,50,360,0.3
17303787,"sushi, thai",sushi,4.0,3,50,340,0.3
17303990,"japanese, sushi, teriyaki",japanese,4.1,2,50,393,0.3
17304741,breakfast,breakfast,4.3,1,50,422,0.3
17304726,brazilian,brazilian,4.0,3,50,435,0.3
17304486,"american, bbq, steak",american,4.0,2,50,369,0.3
17304533,american,american,4.4,3,50,487,0.3
17316233,"american, mediterranean, seafood",american,3.7,3,50,98,0.3
17315883,"italian, pizza",italian,4.1,3,50,365,0.3
17315995,mexican,mexican,4.1,1,50,190,0.3
17316018,"american, breakfast, burger",american,4.1,3,50,429,0.3
17316038,"american, bbq, burger",american,4.4,2,50,430,0.3
17316771,indian,indian,4.2,2,50,186,0.3
17316201,"chinese, sushi, thai",chinese,4.2,1,50,220,0.3
17316208,chinese,chinese,4.2,1,50,347,0.3
17316389,"american, italian, pizza",american,3.8,2,50,161,0.3
17316278,indian,indian,4.1,2,50,160,0.3
17316744,burger,burger,4.9,1,50,820,0.3
17316751,"american, breakfast, burger",american,4.5,1,50,488,0.3
17316766,"breakfast, diner",breakfast,3.6,2,50,253,0.3
17316743,"american, international, sushi",american,3.8,3,50,220,0.3
17316374,pizza,pizza,4.3,2,50,485,0.3
17316381,international,international,4.3,3,50,428,0.3
17316802,"american, breakfast",american,4.1,2,50,294,0.3
17316416,"mediterranean, tapas, vegetarian",mediterranean,4.0,3,50,380,0.3
17316449,bbq,bbq,4.2,2,50,259,0.3
17316603,"pizza, sandwich",pizza,4.7,2,50,433,0.3
16659169,"japanese, sushi",japanese,3.7,2,50,176,0.3
17558684,"american, breakfast, desserts",american,4.3,1,50,96,0.3
18366580,"asian, japanese",asian,3.1,2,50,6,0.3
17330755,"asian, vietnamese",asian,3.3,1,50,33,0.3
17330611,"american, seafood, cajun",american,4.6,2,50,489,0.3
17330609,american,american,4.5,2,50,345,0.3
